job_title,address,employment_type,seniority,min_experience,job_categories,salary_type,salary_range,job_description,job_skills
DATA PROCESSOR / DRAUGHTSPERSON / DRAFTSMAN,1092 LOWER DELTA ROAD 169203,Full Time,Junior Executive,1 year exp,Others,Monthly,"$1,600to$3,000","Land and hydrographic survey computations & computer-aided draughting

Requirements:
Diploma in related field; or
GCE 'O' Level with relevant experience in engineering& cadastral drafting
Knowledge in GIS, ESRI, Autocad & Micro-Station an advantage
CAD Skills
Attention to details
Efficient in time management
Results oriented
Technical knowledge and competences
Quick learner and eager to develop and improve
Attentive and able to focus
Able to perform well without close supervision

","['Revit', 'Construction', 'Asbuilt Drawings', 'BIM', 'Architectural', 'Drawing', 'Electrical', 'GIS', 'Data Processing', '3D', 'Microstation', 'Attentive', 'ESRI', 'Attention to Details', 'Time Management', 'AutoCAD', 'CAD']"
 , , , , , , , , , 
 , , , , , , , , , 
 , , , , , , , , , 
 , , , , , , , , , 
Head Of Operations (Data Center),"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",Permanent,Manager,8 years exp,Engineering,Monthly,"$5,000to$15,000","about the company
My client is a hybrid, hyperscale and edge solutions provider in Pan Asia. With providing multiple hybrid ecosystem solutions and mission-critical infrastructure for IT workloads, this is a great brand to join at an exciting time in their development.
about the job

Responsible for all critical environments within the data centre.
Maintain and implement policies, processes and procedures for all aspects of operations.
Ensure the compliance of all day-to-day operations to the legislation.
Monitor and keep track against KPIs, SLAs, and metrics (incl. performance, capacity, availability, budget)
Oversee on the ground incident response, problem resolution, and change management to support high-quality customer experience as a Single Point of Contact for customers.

skills & experience required

Degree in Electrical / Mechanical Engineering.
Min 5 years’ of data center operations management at the Senior Leadership.
Pocces with a deep understanding of the Data Centre Market will be an added advantage.
Familiar with up-to-date data centre industry practice will be an added advantage.

If you are interested in the position , kindly send your CVs in to amy.leo(@)randstad.com.sg
Please include your availability, expected salary and reason for leaving your current job.
We regret that only shortlisted candidates will be contacted.
EA: 94C3609 / Reg: R22105802
Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents","['Leadership', '24/7 operations', 'Legislation', 'Data Centre environments', 'EHS Audits', 'Data Centre Facilities Management', 'SLA management', 'Team Leadership', 'EHS Management Systems', 'Metrics']"
Data Engineer | Up to SGD$7k / month – J.T.,"CENTRAL PLAZA, 298 TIONG BAHRU ROAD 168730","Contract, Full Time",Junior Executive,3 years exp,Information Technology,Monthly,"$5,000to$7,000","What you’ll be doing:

Work closely as part of the agile product team to design, develop, test and deploy data integration products under the guidance of the DSTA Product Manager
Provide monthly progress reporting and status updates to Authority.
Deliver all required documentations (in compliance to Authority’s QMS processes and standards) including but not limited to design specifications, data specifications, user requirements, mapping documents and unit test plan.
Responsible for complying with data integration development processes and standards defined by Authority.
Develop and manage the data integration programs with Authority’s furnished software that include Informatica PowerCenter and Talend.
Maintain and perform continuous enhancements of data pipeline to ensure smooth data ingestion and good performance. This scope requires personnel to work with Oracle Database, Big Data Platform and tools such as Informatica PowerCenter and Talend.
Conduct and support requirement gathering with the Authority’s project team for new data integration program development.
Perform all required testing to ensure quality of deliverables i.e. User Acceptance Test (UAT), System Integration Test (SIT), Operational System Acceptance Test (OSAT).
Review system, application activities and database logs to detect abnormalities based on provided criteria.
Develop extractors for data in source systems including but not limited to SAP BW OpenHub, Oracle database, SQL Server database and flat file.

What you’ll need:

Degree/Diploma in Computer Science, Computing, Electrical Engineering, or IT equivalent
Experience in building and optimising data pipelines, architecture and datasets using DI/ETL technology (e.g. Informatica, Talend).
Shall have experience in supporting data transformation, data structures, metadata, dependency and workload management.
Experience in multiple data source support (e.g. flat files, SQL database, SAP database, PostgreSQL database, unstructured data not limited to text, documents, images, digitalised video, digitalised audio, sensor data) would be advantageous.

Benefits:

AL: 18 days
ML: 14 days
Medical benefit
Bonuses

Interested applicants: kindly submit your resume to joelle.tam@bgc-group.com","['PostgreSQL', 'Data Structures', 'Informatica', 'Data Transformation', 'System Integration', 'analyze datasets', 'ETL', 'SQL', 'SAP', 'Data Architecture', 'Metadata']"
 , , , , , , , , , 
 , , , , , , , , , 
Data Engineer,"SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600",Permanent,Senior Executive,3 years exp,Information Technology,Monthly,"$6,000to$7,500","- Design and development experience on Azure Logic Apps, Azure Functions – Function Apps, Azure API Management and Azure Service Bus

- High-level knowledge of how Azure private networks work and what are related aspects involved related to subnets, firewall and routing tables etc.

- Programming experience on Java preferably (Python can be an alternative)

- Experience in using Azure monitoring and logs

- Working knowledge with SQL Server or Oracle DB

- Having exposure to application support process

- Ability to prepare technical documentation

- 3 to 5 years of IT experience preferred","['Technical Documentation', 'Oracle', 'Azure', 'Routing', 'SQL', 'Application Support', 'SQL Server', 'Python', 'Java', 'API']"
Contract Senior Research Assistant  /  Assistant Manager Data Science,"TOURISM COURT, 1 ORCHARD SPRING LANE 247729","Contract, Full Time",Senior Executive,2 years exp,"Information Technology, Travel / Tourism",Monthly,"$3,000to$5,000","What the role is:
To implement, manage, monitor and assemble surveys through the use of a survey platform to collect data and use data analytics to generate insights that help STB to make data driven decisions, that will drive growth of Singapore tourism.

Main responsibilities:

Support the project manager in implementation and execution of data collection through surveys by managing the end-to-end survey processes, such as capturing survey requirements, development,      deployment and monitoring of surveys for the purpose of data collection from our tourists.  Responsible for various aspects of vendor and contract management.
Manage survey data collection operational work (e.g., weekly status reporting, survey campaign monitoring and management).
Lead and execute the training and upskilling of business units in using the survey platform to build and launch their own surveys.
Support test planning and test execution of enhancements to existing surveys.
Develop software codes / scripts to automate and build data processing pipelines for survey data integration.
Contribute to the development of new data models that integrate survey data with STB’s internal datasets.
Apply data mining techniques, perform statistical analysis and build prototype analysis pipelines iteratively to provide insights from data at scale.
Distil and present coherent insights using business intelligence tools (e.g. QlikSense) and carry out data      storytelling to answer business questions. This may require building new dashboards from scratch based on user input and setting up the associated ETL workstreams.


Competency requirements:

Achieving results with others
Analytical thinking
Change management
Project management
Stakeholder management & relationship building
Data Analytics – perform analysis on data using data analysis tools (e.g. R, SQL) and statistical techniques to obtain insights, patterns or relationships
Data Visualisation – Ability to set up new QlikSense dashboard and communicate insights through visualisation

Job requirements:

Working knowledge of R and SQL
Minimum 2 years experience with developing surveys on survey platforms (e.g. Qualtrics, Forsta)
Minimum 2 years relevant experience in data analysis, data story telling, quantitative market research projects
Survey project management, involving survey development, data quality, data mapping & integration, user acceptance testing
Proven track record in engaging relevant stakeholders (within and outside of the organization)
Experience in using visualisation tools & creating new dashboards (e.g. QlikSense)
Strong presentation and communication skills with ability to express complex ideas in an easy-to-understand manner
Strong command of written and spoken English


Application Status: Shortlisted candidates will be contacted within 2 weeks from the closing date of this job posting. We regret to inform that only shortlisted candidates will be notified.","['QlikSense', 'Market Research', 'Data Analysis', 'Biomarkers', 'Cognition', 'Wayfinding', 'ETL', 'Data Mining', 'Data Collection', 'Business Intelligence Tools', 'Data Science', 'Data Analytics', 'Test Execution', 'Upper Extremity', 'Rehabilitation', 'Acute Care', 'Test Planning', 'Data Visualisation']"
Data Operations Executive,"KATONG SHOPPING CENTRE, 865 MOUNTBATTEN ROAD 437844",Full Time,Executive,2 years exp,Sales / Retail,Monthly,"$2,000to$3,500","Key Performance Areas

Respond to telephone calls for Sales enquiry and support in a timely manner and have the ability to close and answer sales technical questions
Precisely document the sales quotation and issues, and discuss on pricing and issues related to System sales
Identify and resolve technical issues by escalate issues to other support teams when necessary.
Work in a fast-paced environment, able to adapt to frequent change and be able to work a flexible schedule
Work with diverse groups and individuals to meet goals, establish priorities, and solve complex sales issues

Requirement

GCE ‘O’ Level / Diploma
Excellent communication skills both written and verbal
Self-motivated, and possess a high level of personal accountability
Attention to detail, Ability to multi-task and work independently
Strong problem solving/analytical abilities
With Basic SQL knowledge
","['Ability to Multitask', 'Excellent Communication Skills', 'Sales', 'Microsoft Office', 'Microsoft Excel', 'Aftersales', 'Inventory', 'Administration', 'Attention to Detail', 'Accountability', 'Team Player', 'Microsoft Word', 'Customer Service', 'Pricing', 'Shipping']"
Data Analyst (JIRA / Agile / $7200),"CT HUB, 2 KALLANG AVENUE 339407",Full Time,Professional,5 years exp,Information Technology,Monthly,"$4,000to$7,500","
Key Responsibilities:

Lead grooming sessions with the appropriate subject matter experts to finalize the features needed to deliver the campaign and finalize the functional specifications together with technology team
Data request and Data Merging 
Work with the data engine build team to fit any development
Actively monitor campaign performance and actively recommend and facilitate improvements via experimentation, iterations of the app etc.
Partner with data scientists to improve the performance of the applications
Requirements
Bachelors/University degree, Master’s degree preferred
Min 3 – 5 years experience on campaign management/ data analytics and Project Management 

Skills - Basic Programming Agile , Basic SQL, 
Hands on experience on analytic tools -(SAS , SPSS etc...)

Send your contact to my email- Linda@forteemp.com.sg
OR WhatsApp’s FULL CV to 92273438 (DO NOT CALL)","['Web Services', 'Experimentation', 'Agile', 'Application Development', 'SQL', 'JIRA', 'Websphere Application Server', 'Docker', 'Java', 'API', 'Data Analytics', 'Software Development']"
Assistant Manager – Strategy / Data Analyst,"MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",Full Time,Executive,1 year exp,Information Technology,Monthly,"$4,000to$6,500","As part of the Sectoral Transformation Group in IMDA, the SMEs Go Digital Division aims to make going digital simple for SMEs.

As part of the Programme Office, you will be using data to provide actionable insights and targeted proposals in order to enhance the impact of Government support given to SMEs. You will also be working on key strategic initiatives such as reviewing current programmes and processes, as well as developing strategic communications for key stakeholders.

You will be presented with the opportunity to analyse data, develop strategic business insights, propose implementation approaches, and engage with key stakeholders.

Responsibilities:

Analyse data to identify gaps and areas of improvement for programme planning and execution.
Work within in team to undertake strategic reviews of programmes and initiatives.
Co-develop a stakeholder map and strategic communications strategy for various SMEs Go Digital products and services.
Design, plan and execute data analytics projects that help to optimise the SMEs Go Digital programme.
Understand the operational requirements needs within the SMEs Go Digital team (e.g. governance) as well as the business challenges faced by external parties (e.g. vendors, SMEs).
Develop actionable, data-based proposals and present key findings to senior management and/or other stakeholders.
Use Business Intelligence Tools to design analytics dashboards.

Requirements

Background (either academic or working experience) in Statistics, Information Technology, Business Analytics, Data Science, Computing or related quantitative discipline.
Good knowledge and experience with visualisation tools such as Qliksense, Power BI and Tableau.
1-3 years of relevant working experience, preferably in business intelligence & analytics, finance, business consulting or trade industry.
Methodical, process oriented, organised and proactive self-starter.
Good written and spoken communication, presentation and negotiation skills


Only shortlisted candidates will be notified. ","['QlikSense', 'Negotiation', 'Tableau', 'Business Intelligence', 'Strategic Communications', 'Information Technology', 'Strategy', 'Business Analytics', 'Business Intelligence Tools', 'Statistics', 'Data Science', 'Consulting', 'Data Analytics', 'Power BI', 'Data Visualization']"
Information Technology Master Data Management Head,"THE METROPOLIS, 9 NORTH BUONA VISTA DRIVE 138588",Contract,Middle Management,15 years exp,Information Technology,Monthly,"$9,000to$13,500","This is a 1-year contract role.

What is the role
The Information Technology Master Data Management Head/ Data Platform Manager for Electric Mobility (E-Mobility) is responsible for unlocking value for the business through secure, reliable, sustainable data operations. Able to identify, mature and deliver opportunities through the value funnel that demonstrate benefits. Strong understanding of the digital and data revolution and its current and future impact on business. Able to translate business strategy into data operations-specific actions and interventions, to assess the benefits of new technologies and trends, and have deep understanding of digitalisation and data & analytics. Strong stakeholder and change management skills and ability to partner and influence across the organisational ecosystem.
The Data Platform Manager sets the strategic vision for the use, governance and value creation of data platform operations within the company. The Data Platform Manager understands and can explain how to align data analysis with business needs and lay out the roadmap of how to proceed. The Data Platform Manager pro-actively identifies data operations opportunities creating new & additional insights to further accelerate the Value from Data journey.

Accountabilities:
- Value Funnel Support: IT Operations focal point to drive the Value from Data (VfD) agenda. Develop future opportunities with the respective business/function by understanding the business goals and drivers, leveraging the ITM D&A toolkit, to identify the top VfD opportunity areas, and ensure the top Value from Data ‘Asks’ are embedded into the IT strategic plan.
- Working Delivery Engine: Leverage the agreed cross-functional governance and Target DnA Operating Model, ensure E-Mobility has a robust and well-working operating engine for the opportunities in each funnel across all opportunity types (Data Management, Information Management, Compliance Management, Data Governance, Management Information and Analytics.)
- Establish Data Foundations: Support the Platform, Market Standard and digitalisation strategies. Ensure data foundations (Data Governance, Data Models & Flows, Data Quality, Data Architecture) are strategically considered to ensure the implications are reviewed and positioned as part of the IT roadmap.
- Adopt the Enabling Technologies: Ensure technology plan for Operations is embedded and investments holistically support the Value from Data Funnel
- People & Skills: Create and lead an E-Mobility Data Operations team within the segment and link it into the enterprise forums. Support the capability and capacity development across the DnA delivery engine.
- Stakeholder Management: Work with a wide variety of senior IT and Business stakeholders to bring alignment for the strategic direction of the segment and drive the delivery of the DnA Natural Team.

What we need from you
- Significant experience (+10 years) in developing and managing Data and Analytics strategies and initiatives in complex international organisations in the sectors of Retailing, Energy, or distributed site Operations.
- Track record in delivering value, from opportunity identification to delivery, dealing with unknowns and making decisions with incomplete set of information.
- Expertise in developing and architecting solutions in a collaborative environment, as well as significant experience in multiple hardware/software computing and cloud environments.
- Experience in managing and working with enterprise architecture repositories and modeling tools.
- Significant experience managing solution delivery and managing third parties.
- Experiences in creating a data-driven culture and enabling behavioural change.

Skills & Competencies
- 15+ years of professional experience in the IT field, at least 10 years in a data related role, and at least 3 years in a senior IT leadership role.
- Bachelor or Master degree in Information Technology, Computer Science, Data Management, or a related discipline.
- Strategic thinker, able to develop and articulate a vision and direction in complex organisational and (IT) technical situations.
- Strong stakeholder management and influencing skills. Able to articulate a vision and build support for that vision in the wider team and organisation.
- Ability to self-start and direct efforts based on high-level business objectives.
- Strong collaboration and leadership skills with the ability to coach and develop teams to meet new challenges.
- Strong interpersonal, communication, facilitation and presentation skills.
- Ability and experience to work through complex interfaces across organisational and geographic boundaries.
- Excellent analytical, planning and problem solving skills
- Strong data modeling, design, warehousing and business intelligence knowledge.
- Strong, current technical proficiency with applications architecture, frameworks and enterprise solutions delivery.","['Management Skills', 'Warehousing', 'Business Intelligence', 'Data Analysis', 'Modeling', 'Change Management', 'Data Management', 'Information Technology', 'Data Quality', 'Data Governance', 'Business Strategy', 'IT Operations', 'Data Architecture', 'Stakeholder Management', 'Facilitation', 'Master Data Management']"
"Data Engineer  /  Technology  / Up to $8,000 / month!","HAVELOCK2, 2 HAVELOCK ROAD 059763","Permanent, Full Time",Senior Executive,3 years exp,Information Technology,Monthly,"$7,000to$8,000","My client, an established company is looking out for a data Engineer and the incumbent to join needs to have such attributes.

Job roles:

Manage data lake API calls from 3rd party application and access controls.
Participate in designing the architecture of the data lake platform for new use cases.
Responsible for verifying changes implemented by vendor and deploy it into the data lake production environment.
Identify, design, and implement continuous
Able to understand business requirements and translate to design document from data ingestion to data modelling.
Develop data pipelines and ingest data from various sources to data warehouse for consumption from 3rd party applications.

Job requirements:

Experience in utilising Microsoft Azure and any related tooling for data engineering (such as Azure Data Factory, Azure Data Lake Storage, Databricks, Synapse).
Knowledge of data modelling and understanding of different data structures and their benefits and limitations.
Proficiency in writing SQL including stored procedures in languages such as T-SQL and PL/SQL.
A minimum 2 years’ experience in data engineering (e.g. data modelling, data pipeline, data architecture, ETL).

How to Apply:

Interested applicants may apply by sending in your updated résumé (in MS Word format) to my email or apply directly:
Consultant: Tan Jun Jie
EA personnel reg. no.R1878852
EA License No. 17C8502","['Microsoft Azure', 'Factory', 'Azure', 'Pipelines', 'T-SQL', 'Data Structures', 'Data Engineering', 'SQL', 'MS Word', 'Writing', 'Data Architecture', 'API', 'Business Requirements']"
"Data Engineer  /  Technology  / Up to $8,000 / month!","HAVELOCK2, 2 HAVELOCK ROAD 059763","Permanent, Full Time",Senior Executive,3 years exp,Information Technology,Monthly,"$7,000to$8,000","My client, an established company is looking out for a data Engineer and the incumbent to join needs to have such attributes.

Job roles:

Manage data lake API calls from 3rd party application and access controls.
Participate in designing the architecture of the data lake platform for new use cases.
Responsible for verifying changes implemented by vendor and deploy it into the data lake production environment.
Identify, design, and implement continuous
Able to understand business requirements and translate to design document from data ingestion to data modelling.
Develop data pipelines and ingest data from various sources to data warehouse for consumption from 3rd party applications.

Job requirements:

Experience in utilising Microsoft Azure and any related tooling for data engineering (such as Azure Data Factory, Azure Data Lake Storage, Databricks, Synapse).
Knowledge of data modelling and understanding of different data structures and their benefits and limitations.
Proficiency in writing SQL including stored procedures in languages such as T-SQL and PL/SQL.
A minimum 2 years’ experience in data engineering (e.g. data modelling, data pipeline, data architecture, ETL).

How to Apply:

Interested applicants may apply by sending in your updated résumé (in MS Word format) to my email or apply directly:
Consultant: Tan Jun Jie
EA personnel reg. no.R1878852
EA License No. 17C8502","['Microsoft Azure', 'Factory', 'Azure', 'Pipelines', 'T-SQL', 'Data Structures', 'Data Engineering', 'SQL', 'MS Word', 'Writing', 'Data Architecture', 'API', 'Business Requirements']"
"Data Engineer  /  Technology  / Up to $8,000 / month!","HAVELOCK2, 2 HAVELOCK ROAD 059763","Permanent, Full Time",Senior Executive,3 years exp,Information Technology,Monthly,"$7,000to$8,000","My client, an established company is looking out for a data Engineer and the incumbent to join needs to have such attributes.

Job roles:

Manage data lake API calls from 3rd party application and access controls.
Participate in designing the architecture of the data lake platform for new use cases.
Responsible for verifying changes implemented by vendor and deploy it into the data lake production environment.
Identify, design, and implement continuous
Able to understand business requirements and translate to design document from data ingestion to data modelling.
Develop data pipelines and ingest data from various sources to data warehouse for consumption from 3rd party applications.

Job requirements:

Experience in utilising Microsoft Azure and any related tooling for data engineering (such as Azure Data Factory, Azure Data Lake Storage, Databricks, Synapse).
Knowledge of data modelling and understanding of different data structures and their benefits and limitations.
Proficiency in writing SQL including stored procedures in languages such as T-SQL and PL/SQL.
A minimum 2 years’ experience in data engineering (e.g. data modelling, data pipeline, data architecture, ETL).

How to Apply:

Interested applicants may apply by sending in your updated résumé (in MS Word format) to my email or apply directly:
Consultant: Tan Jun Jie
EA personnel reg. no.R1878852
EA License No. 17C8502","['Microsoft Azure', 'Factory', 'Azure', 'Pipelines', 'T-SQL', 'Data Structures', 'Data Engineering', 'SQL', 'MS Word', 'Writing', 'Data Architecture', 'API', 'Business Requirements']"
 , , , , , , , , , 
 , , , , , , , , , 
Senior Project Manager (Data Engineering),"GUOCO TOWER, 1 WALLICH STREET 078881","Contract, Full Time",Manager,5 years exp,Information Technology,Monthly,"$8,000to$13,000","Job Description:

Understand project requirements and manage the scope and plan of the project to make sure it adheres to the timeline, budget and scope
Translate business requirements to technical specifications, provide high level solution design
Drive engineering teams in building to the roadmap, managing project delivery, dependencies and risks, track deliverables, and overcome roadblocks
Handle regular stakeholder communication and project updates

Requirements:

5+ years of experience inmanaging engineering or data related projects
Work with the business users to understand business requirements and translate that to high level technical specifications
Manage and coordinate test plan, user sign off and go-live plan
Work on defining high level architecture and appreciate technical complexities required
Strong communication skills to coordinate with project team, stakeholders and management
Comfortable working with both waterfall and agile methodologies
Knowledge of one or more database technologies (Snowflake, Oracle, Hadoop) and experienced in Cloud Technologies
Proficiency in writing Advanced SQLs, experience with business analytics products like Tableau

Nice to have:

Experience with data science and machine learning tools and technologies is a plus
Knowledge of any programming language (Java, Python) and cloud deployments (CloudFoundry, AWS etc.) will be a plus.
","['Snowflake Cloud Data Warehouse', 'Machine Learning', 'Oracle', 'Big Data', 'Oracle SQL', 'Hadoop', 'Agile Methodologies', 'ETL', 'Data Engineering', 'SQL', 'Python', 'Snowflake Computing', 'Data Architecture', 'Data Science', 'Java', 'Project Delivery']"
Data Center Inventory & Asset Technician,"UOB PLAZA, 80 RAFFLES PLACE 048624",Permanent,Professional,2 years exp,Information Technology,Monthly,"$4,000to$7,000","In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day and we need you as a Data Center Inventory & Asset Technician (DIAT).
Microsoft’s Cloud Operations & Innovation (CO+I) is the engine that powers our cloud services. As a CO+I DIAT, you will perform a key role in delivering the core infrastructure and foundational technologies for Microsoft's online services including Bing, Office 365, Xbox, OneDrive, and the Microsoft Azure platform. As a group, CO+I is focused on the personal and professional development of all employees and offers trainings and opportunities including Career Rotation Programs, Diversity & Inclusion trainings and events, and professional certifications.
Our infrastructure is comprised of a large global portfolio of more than 100 datacenters and 1 million servers. Our foundation is built upon and managed by a team of subject matter experts working to support services for more than 1 billion customers and 20 million businesses in over 90 countries worldwide.
With environmental sustainability and optimization at the forefront of our datacenter design and operations, we continue to grow and evolve as we meet the ever-changing business demands that hold Microsoft as a world-class cloud provider.
Do you want to empower billions across the world? Come and join us in CO+I and be at the forefront of the action!
Responsiblities
Safety Practices

Complies with security and data management policies.
Escalates any security or safety incidents. Coordinates with security escorts for third-party vendors.

Tactical Shift Management

Performs assigned tasks and escalates issues during high-volume work activity or escalation-based situations.
Leverages process knowledge and best judgment to complete next task without direct supervision.

Inbound and Outbound Logistics

Coordinates, prepares, and executes incoming/outgoing deliveries (e.g. purchase order [PO] receiving, Rack Movement Supervisor [RMS] activities).
Applies appropriate customs documentations and standards for outbound packages.
Ensures complete and detailed physical inventory tracking and staging.

Customer Service

Maintains a strong focus to understand the impact of their work when completing tickets and assigned Inventory and Asset Management (IAM) tasks.
Ensures IAM tasks are completed accurately as requested, as well as meet company and industry standards and policies.
Builds strong working relationships with customers.

Inventory Management

Maintains and stewards up-to-date and accurate logical information within various inventory management systems (e.g., configuration management databases, asset management repositories).
Performs inventory cycle audits, data corrections, and various Data Center regulatory compliance or certification control audit activity.
Performs material movement, including shipping/receiving and inventory management per standard process.
Ensures detailed physical inventory tracking and staging.

Warranty Process Management

Engages supplier to initiate warranty claim when automation is not available and processes the orders.
Processes failed vendor hardware devices using online/other tools, including information processing, packaging, shipment, and receipt of return for Return Merchandise Authorization (RMA) devices.
Follows all Service Level Agreements (SLAs) related to RMA warranty process.

Data Bearing Device (DBD) Destruction

Performs destruction of data bearing devices (DBD) following all Service Level Agreements (SLAs) and Microsoft policies as necessary.
Ensures DBD serial number matches with database.
Coordinates with and oversees any third-party vendors who perform DBD destruction as necessary.

Procurement

Notifies management about ordering stock shortages. Escalates any issues to management.

Operational Excellence

Follows procedures to contribute to plans to develop, build, and run methodologies. Ensures execution according to accepted procedures for consistency, accuracy, and timeliness of delivery.

Other

Embody our culture and values

Responsiblities 
For this role, you are welcome to apply if you meet the following Required Qualifications:

High School Diploma AND 1+ year(s) experience warehouse/supply chain in an information technology (IT) environment, inventory management, retail, warehouse management, or a related fieldOR equivalent experience.


While not required, we also look for the following Preferred Qualifications:

2+ year(s) experience in warehouse/supply chain in an information technology (IT) environment, IT, and/or logistics, operating heavy-load movement equipment (e.g., forklift, pallet jacks, chassis lifts) for a large corporationOR equivalent experience.


Background Check Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:

Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.

#COICareers
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","['Microsoft Azure', 'Sustainability', 'Asset Management', 'Warehouse Management', 'Hardware', 'Data Center', 'Inventory', 'Information Technology', 'Inventory Management', 'Authorization', 'Process Management', 'Warranty', 'Screening']"
